Service Category,Shift / Hours,Monthly Salary Slab (INR),Leave Policy,Scope of Domestic Work
Part-Time Maid,2 Hours / day,₹5,000 / month,2 Leaves / month,Dusting + Utensils or Floor Mopping
Part-Time Maid,3 Hours / day,₹6,000 / month,2 Leaves / month,Cooking or Sweeping + Mopping + Utensils
Part-Time Maid,4 Hours / day,₹7,000 / month,2 Leaves / month,Cooking + House cleaning / Dusting
Semi-Full Day,5 Hours / day,₹8,000 - ₹9,000 / month,2 Leaves / month,Cooking + Complete housekeeping
Semi-Full Day,6 Hours / day,₹9,000 - ₹10,000 / month,2 Leaves / month,Cooking + Dusting + Laundry + Floor mop
Full Day Maid,7 Hours / day,₹10,000 - ₹11,000 / month,2 Leaves / month,Full household chore management
Full Day Maid,8 Hours / day,₹12,000 - ₹13,000 / month,2 Leaves / month,Full day domestic help & kitchen assistance
Full Day Maid,9 Hours / day,₹12,000 - ₹13,000 / month,2 Leaves / month,Full day domestic help & kitchen assistance
Extended Full Day,10 Hours / day,₹14,000 - ₹15,000 / month,2 Leaves / month,Dedicated daytime caretaker / maid
Extended Full Day,11 Hours / day,₹15,000 - ₹16,000 / month,2 Leaves / month,Extended day domestic support
Extended Full Day,12 Hours / day,₹15,000 - ₹17,000 / month,2 Leaves / month,12-hour continuous household assistance
24-Hour Live-In,24 Hours (Round the clock),₹21,000 - ₹22,000 / month,2 Leaves / month,Stay-at-home house help + cooking
24-Hour Live-In,24 Hours (Nanny / Baby Care),₹23,000 - ₹24,000 / month,2 Leaves / month,Dedicated baby care / nanny + house help
24-Hour Live-In,24 Hours (Japa Maid),₹24,000 - ₹28,000 / month,2 Leaves / month,Specialized postpartum newborn & mother recovery
