"Category","Service / Shift Type","Hours / Duration","Monthly Rate / Salary Slab (₹)","Monthly Maid Leave","Scope / Work Details"
"Part-Time & Daily Shifts","Daily Maid & Housekeeping","2 Hours / Day","₹5,000","2 Days / Month","Dusting, sweeping & mopping"
"Part-Time & Daily Shifts","Daily Maid & Housekeeping","3 Hours / Day","₹6,000","2 Days / Month","House cleaning + kitchen support"
"Part-Time & Daily Shifts","Daily Maid & Housekeeping","4 Hours / Day","₹7,000","2 Days / Month","Complete house cleaning & utensils"
"Part-Time & Daily Shifts","Daily Maid & Housekeeping","5 Hours / Day","₹8,000 - ₹9,000","2 Days / Month","Cleaning, utensils, bathroom maintenance"
"Part-Time & Daily Shifts","Daily Maid & Housekeeping","6 Hours / Day","₹9,000 - ₹10,000","2 Days / Month","Cleaning + basic kitchen/clothes support"
"Part-Time & Daily Shifts","Daily Maid & Housekeeping","7 Hours / Day","₹10,000 - ₹11,000","2 Days / Month","Full housekeeping & dusting"
"Full-Day Shifts","Full-Day Maid & Housekeeper","8 Hours / Day","₹12,000 - ₹13,000","2 Days / Month","Dedicated daytime helper"
"Full-Day Shifts","Full-Day Maid & Housekeeper","9 Hours / Day","₹12,000 - ₹13,000","2 Days / Month","Daytime house maintenance"
"Full-Day Shifts","Full-Day Maid & Housekeeper","10 Hours / Day","₹14,000 - ₹15,000","2 Days / Month","Morning to evening full support"
"Full-Day Shifts","Full-Day Maid & Housekeeper","11 Hours / Day","₹15,000 - ₹16,000","2 Days / Month","Extended daily housekeeping"
"Full-Day Shifts","Full-Day Maid & Housekeeper","12 Hours / Day","₹15,000 - ₹17,000","2 Days / Month","Full 12-hour day coverage"
"24-Hour Live-in Care","24hr Live-in Maid & Cook","24 Hours (Live-in)","₹21,000 - ₹22,000","2 Days / Month","House help + daily cooking (Live-in)"
"24-Hour Live-in Care","24hr Nanny & Childcare + House Help","24 Hours (Live-in)","₹23,000 - ₹24,000","2 Days / Month","Nanny, baby care + house help work (Live-in)"
"24-Hour Live-in Care","24hr Japa Maid (Newborn & Mother Care)","24 Hours (Live-in)","₹24,000 - ₹28,000","2 Days / Month","Specialized postnatal newborn & mother care (Live-in)"
